id,name,brand,perfumer,launch_year,style_category,price_tier,price_usd_100ml,main_accord_1,main_accord_2,main_accord_3,top_notes,heart_notes,base_notes,rating,vote_count,love_count,like_count,ok_count,dislike_count,hate_count,tiktok_tier,tiktok_views_est,appreciation_score,polarisation_score
1,Tonka Imperiale,Guerlain,Thierry Wasser,2010,Gourmand,Luxury,380,Sweet,Almond,Amber,"Almond, Rosemary, Bergamot","Tonka Bean, Tobacco, Jasmine","Incense, Cedar, Pine",4.39,3040,1850,820,240,90,40,1,1500000,86.5,1.3
2,Baccarat Rouge 540,Maison Francis Kurkdjian,Francis Kurkdjian,2015,Gourmand,Luxury,325,Amber,Woody,Fresh Spicy,"Saffron, Jasmine","Amberwood, Ambergris","Fir Resin, Cedar",4.15,12540,7100,2800,1100,800,740,3,850000000,76.2,5.9
3,Love Don't Be Shy,Kilian,Calice Becker,2007,Gourmand,Luxury,295,Sweet,White Floral,Vanilla,"Neroli, Bergamot, Pink Pepper, Coriander","Orange Blossom, Jasmine, Honeysuckle, Rose, Iris","Sugar, Vanilla, Caramel, Musk, Civet, Labdanum",4.02,5820,3100,1400,650,400,270,2,50000000,71.9,4.6
4,Good Girl,Carolina Herrera,Louise Turner,2016,Gourmand,Designer,135,Sweet,White Floral,Warm Spicy,"Almond, Coffee, Bergamot, Lemon","Tuberose, Jasmine Sambac, Orris, Orange Blossom, Bulgarian Rose","Tonka Bean, Cacao, Vanilla, Praline, Sandalwood, Musk, Amber, Cashmere Wood, Cinnamon, Patchouli, Cedar",3.95,24807,11200,7300,3400,1600,1307,2,80000000,69.1,5.3
5,Prada Candy,Prada,Daniela Andrier,2011,Gourmand,Designer,130,Caramel,Powdery,Sweet,Caramel,"Powdery Notes, Musk","Benzoin, Vanilla",3.76,16580,6200,5100,2900,1400,980,1,5000000,62.4,5.9
6,Flowerbomb,Viktor & Rolf,Olivier Polge,2005,Gourmand,Designer,140,Floral,Patchouli,White Floral,"Tea, Bergamot, Osmanthus","Orchid, Jasmine, Rose, Freesia, African Orange Flower","Patchouli, Musk, Vanilla",3.92,19420,8900,5800,2600,1200,920,2,10000000,68.5,4.7
7,You,Glossier,Frank Voelkl,2017,Clean / Fresh,Designer,72,Musky,Powdery,Iris,Pink Pepper,"Iris, Ambrette","Musk, Ambroxan",4.01,7450,3800,2100,900,400,250,3,120000000,75.3,3.4
8,Chance Eau Tendre,Chanel,Jacques Polge,2010,Clean / Fresh,Designer,145,Fruity,Floral,Citrus,"Quince, Grapefruit","Hyacinth, Jasmine","Musk, Iris, Virginia Cedar, Amber",4.31,11450,6900,3100,1100,200,150,1,8000000,84.7,1.3
9,Colonia,Acqua di Parma,Unknown,1916,Clean / Fresh,Niche,180,Citrus,Fresh Spicy,Aromatic,Sicilian Citrus,"Lavender, Rosemary, Verbena, Damask Rose","Vetiver, Sandalwood, Patchouli",4.25,4120,2300,1200,480,90,50,1,1000000,82.9,1.2
10,L'Eau d'Issey,Issey Miyake,Jacques Cavallier,1992,Clean / Fresh,Designer,115,Floral,Aquatic,Fresh,"Lotus, Melon, Freesia, Rose Water, Cyclamen","Lily, Lily-of-the-Valley, Water Peony, Carnation","Exotic Woods, Tuberose, Melon, Musk, Osmanthus, Cedar, Sandalwood, Amber",4.11,9430,4800,2900,1100,400,230,1,2000000,77.2,2.4
11,Daisy,Marc Jacobs,Alberto Morillas,2007,Clean / Fresh,Designer,130,Ozonic,White Floral,Fruity,"Violet Leaf, Blood Grapefruit, Strawberry","Violet, Gardenia, Jasmine","Musk, White Woods, Vanilla",3.89,15420,6300,5400,2600,700,420,2,45000000,65.5,2.7
12,Black Orchid,Tom Ford,David Apel,2006,Dark Luxury,Luxury,235,Warm Spicy,Earthy,Woody,"Truffle, Gardenia, Black Currant, Ylang-Ylang, Jasmine, Bergamot, Mandarin Orange, Amalfi Lemon","Orchid, Spices, Gardenia, Fruity Notes, Ylang-Ylang, Jasmine, Lotus","Mexican Chocolate, Patchouli, Vanille, Incense, Amber, Sandalwood, Vetiver, White Musk",4.08,21350,10500,5400,2500,1400,1550,2,25000000,71.6,7.3
13,Black Opium,YSL,Nathalie Lorson,2014,Dark Luxury,Designer,155,Vanilla,Coffee,Sweet,"Pear, Pink Pepper, Orange Blossom","Coffee, Jasmine, Bitter Almond, Licorice","Vanilla, Patchouli, Cashmere Wood, Cedar",3.94,26100,11900,7400,3900,1600,1300,2,60000000,68.4,5.0
14,Hypnotic Poison,Dior,Annick Menardo,1998,Dark Luxury,Designer,145,Vanilla,Almond,Sweet,"Coconut, Plum, Pimento","Brazilian Rosewood, Jasmine, Caraway, Tuberose, Rose, Lily-of-the-Valley","Vanilla, Almond, Sandalwood, Musk",4.12,18450,9800,4800,2200,900,750,1,15000000,75.9,4.1
15,Ambre Sultan,Serge Lutens,Christopher Sheldrake,1993,Dark Luxury,Niche,170,Amber,Aromatic,Fresh Spicy,"Coriander, Amber, Oregano","Bay Leaf, Myrrh, Angelica","Resins, Sandalwood, Patchouli",4.21,5120,2900,1300,550,230,140,1,500000,78.9,2.7
16,Not a Perfume,Juliette Has a Gun,Romano Ricci,2010,Dark Luxury,Niche,145,Musky,Amber,Powdery,Cetalox,Cetalox,Cetalox,3.68,6800,2400,2100,1300,600,400,2,35000000,57.3,5.9
17,Spiritueuse Double Vanille,Guerlain,Jean-Paul Guerlain,2007,Dark Luxury,Luxury,380,Vanilla,Sweet,Amber,"Pink Pepper, Bergamot, Incense","Cedar, Ylang-Ylang, Rose, Jasmine","Vanilla, Benzoin",4.41,5331,3400,1300,450,110,71,1,4000000,85.1,1.3
18,No. 5,Chanel,Ernest Beaux,1921,Floral,Designer,145,Aldehydic,Powdery,Floral,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Lemon","Iris, Jasmine, Rose, Orris Root, Lily-of-the-Valley","Civet, Musk, Amber, Sandalwood, Moss, Vanilla, Vetiver, Patchouli",3.68,13601,5200,3400,2500,1300,1201,1,12000000,58.9,8.8
19,Miss Dior Blooming Bouquet,Dior,Louise Turner,2014,Floral,Designer,135,Floral,Rose,Fruity,Sicilian Mandarin,"Pink Peony, Damask Rose, Apricot, Peach",White Musk,4.09,11240,5900,3100,1600,400,240,2,40000000,77.8,2.1
20,Peony & Blush Suede,Jo Malone,Christine Nagel,2013,Floral,Niche,165,Floral,Rose,Fresh,Red Apple,"Peony, Jasmine, Carnation, Rose",Suede,3.87,6261,2600,2100,1100,310,151,1,15000000,66.8,2.4
21,Replica: Flower Market,Maison Margiela,Jacques Cavallier,2012,Floral,Niche,160,White Floral,Floral,Green,"Fresea, Green Leaves","Tuberose, Jasmine Sambac, Egyptian Jasmine, Grasse Rose","Peach, Oakmoss, Cedar",3.7,2042,720,780,390,110,42,1,5000000,58.2,2.1
22,Gypsy Water,Byredo,Unknown,2008,Floral,Niche,205,Woody,Aromatic,Citrus,"Juniper, Lemon, Bergamot, Pepper","Pine Needles, Incense, Orris Root","Sandalwood, Vanilla, Amber",3.98,10816,4900,3400,1600,600,316,2,30000000,71.9,2.9
23,Oud Wood,Tom Ford,Richard Herpin,2007,Woody / Spicy,Luxury,295,Woody,Oud,Warm Spicy,"Oud, Rosewood","Sandalwood, Sichuan Pepper, Vetiver","Vanilla, Tonka Bean, Amber",4.29,17002,9800,4500,1800,500,402,2,45000000,81.3,2.4
24,Aventus,Creed,Jean-Christophe Hérault,2010,Woody / Spicy,Luxury,495,Fruity,Sweet,Woody,"Pineapple, Bergamot, Black Currant, Apple","Birch, Patchouli, Moroccan Jasmine, Rose","Musk, Oakmoss, Ambergris, Vanille",4.32,27085,15400,6800,2900,1100,885,3,250000000,80.3,3.3
25,Santal 33,Le Labo,Frank Voelkl,2011,Woody / Spicy,Niche,230,Woody,Powdery,Leather,"Sandalwood, Virginia Cedar","Papyrus, Leather, Violet","Amber, Iris",3.75,13200,5100,3400,2200,1300,1200,3,180000000,59.8,9.1
26,Oud for Greatness,Initio,Unknown,2018,Woody / Spicy,Luxury,410,Oud,Warm Spicy,Fresh Spicy,"Saffron, Nutmeg, Lavender",Agarwood (Oud),"Patchouli, Musk",4.27,4850,2700,1200,500,250,200,2,15000000,79.4,4.1
27,Sycomore,Chanel,Jacques Polge,2008,Woody / Spicy,Luxury,300,Woody,Earthy,Aromatic,"Vetiver, Tobacco","Cypress, Juniper, Pink Pepper","Sandalwood, Aldehydes",4.42,2980,1850,720,310,60,40,1,1000000,86.6,1.3
28,Club de Nuit Intense Man,Armaf,Unknown,2015,Viral / TikTok,Budget,35,Citrus,Fruity,Leather,"Lemon, Pineapple, Bergamot, Black Currant, Apple","Birch, Jasmine, Rose","Musk, Ambergris, Patchouli, Vanilla",4.11,19450,9400,5100,2400,1300,1250,3,300000000,71.6,6.4
29,Arabians Tonka,Montale,Pierre Montale,2019,Viral / TikTok,Budget,45,Sweet,Oud,Warm Spicy,"Saffron, Bergamot","Agarwood (Oud), Bulgarian Rose","Sugar, Tonka Bean, Amber, White Musk, Oakmoss",4.28,3120,1850,740,290,140,100,3,150000000,80.9,3.2
30,Exclusif Rose Oud,Maison Alhambra,Unknown,2022,Viral / TikTok,Budget,30,Rose,Oud,Sweet,"Rose, Saffron","Amber, Patchouli","Oud, Woody Notes",4.15,820,450,210,110,30,20,2,25000000,77.4,2.4
